# Source: https://en.wikipedia.org/wiki/List_of_birds_of_Europe (fetched 2026-09-13)
# scientific	english (Wikipedia)	status tags
Leiothrix lutea	Red-billed leiothrix	I
Bombycilla cedrorum	Cedar waxwing	A
Bombycilla garrulus	Bohemian waxwing	
Corthylio calendula	Ruby-crowned kinglet	A
Regulus madeirensis	Madeira firecrest	E-Madeira
Regulus ignicapilla	Common firecrest	
Regulus regulus	Goldcrest	
Tichodroma muraria	Wallcreeper	
Sitta krueperi	Krüper's nuthatch	
Sitta canadensis	Red-breasted nuthatch	A
Sitta whiteheadi	Corsican nuthatch	E
Sitta neumayer	Western rock nuthatch	
Sitta tephronota	Eastern rock nuthatch	A-Caucasus
Sitta europaea	Eurasian nuthatch	
Certhia familiaris	Eurasian treecreeper	
Certhia brachydactyla	Short-toed treecreeper	
Troglodytes troglodytes	Eurasian wren	
Dumetella carolinensis	Grey catbird	A
Toxostoma rufum	Brown thrasher	A
Mimus polyglottos	Northern mockingbird	A
Sturnus unicolor	Spotless starling	
Sturnus vulgaris	Common starling	
Pastor roseus	Rosy starling	
Agropsar sturninus	Daurian starling	A
Acridotheres cristatellus	Crested myna	I
Cinclus cinclus	White-throated dipper	
Zoothera aurea	White's thrush	A
Ixoreus naevius	Varied thrush	A
Hylocichla mustelina	Wood thrush	A
Catharus ustulatus	Swainson's thrush	A
Catharus fuscescens	Veery	A
Catharus minimus	Grey-cheeked thrush	A
Catharus guttatus	Hermit thrush	A
Geokichla sibirica	Siberian thrush	A
Turdus viscivorus	Mistle thrush	
Turdus philomelos	Song thrush	
Turdus iliacus	Redwing	
Turdus merula	Common blackbird	
Turdus pilaris	Fieldfare	
Turdus torquatus	Ring ouzel	
Turdus ruficollis	Red-throated thrush	A
Turdus atrogularis	Black-throated thrush	
Turdus naumanni	Naumann's thrush	A
Turdus eunomus	Dusky thrush	A
Turdus unicolor	Tickell's thrush	A
Turdus obscurus	Eyebrowed thrush	A
Turdus migratorius	American robin	A
Cercotrichas galactotes	Rufous-tailed scrub robin	
Muscicapa sibirica	Dark-sided flycatcher	A
Muscicapa dauurica	Asian brown flycatcher	A
Muscicapa striata	Spotted flycatcher	
Erithacus rubecula	European robin	
Irania gutturalis	White-throated robin	
Luscinia luscinia	Thrush nightingale	
Luscinia megarhynchos	Common nightingale	
Luscinia svecica	Bluethroat	
Calliope calliope	Siberian rubythroat	A
Larvivora cyane	Siberian blue robin	A
Larvivora sibilans	Rufous-tailed robin	A
Ficedula parva	Red-breasted flycatcher	
Ficedula albicilla	Taiga flycatcher	A
Ficedula speculigera	Atlas pied flycatcher	A
Ficedula semitorquata	Semicollared flycatcher	
Ficedula albicollis	Collared flycatcher	
Ficedula hypoleuca	European pied flycatcher	
Tarsiger cyanurus	Red-flanked bluetail	
Phoenicurus auroreus	Daurian redstart	A
Phoenicurus erythrogastrus	Güldenstädt's redstart	Caucasus
Phoenicurus ochruros	Black redstart	
Phoenicurus moussieri	Moussier's redstart	A
Phoenicurus phoenicurus	Common redstart	
Monticola saxatilis	Common rock thrush	
Monticola solitarius	Blue rock thrush	
Saxicola rubetra	Whinchat	
Saxicola caprata	Pied bush chat	A
Saxicola maurus	Siberian stonechat	
Saxicola dacotiae	Canary Islands stonechat	E
Saxicola rubicola	European stonechat	
Oenanthe monacha	Hooded wheatear	A
Oenanthe deserti	Desert wheatear	A
Oenanthe hispanica	Western black-eared wheatear	
Oenanthe pleschanka	Pied wheatear	
Oenanthe melanoleuca	Eastern black-eared wheatear	
Oenanthe cypriaca	Cyprus wheatear	
Oenanthe oenanthe	Northern wheatear	
Oenanthe isabellina	Isabelline wheatear	
Oenanthe moesta	Red-rumped wheatear	A
Oenanthe finschii	Finsch's wheatear	A
Oenanthe xanthoprymna	Kurdish wheatear	A
Oenanthe leucura	Black wheatear	
Oenanthe leucopyga	White-crowned wheatear	A
Ploceus melanocephalus	Black-headed weaver	I
Euplectes afer	Yellow-crowned bishop	I
Vidua macroura	Pin-tailed whydah	I
Euodice malabarica	Indian silverbill	I
Lonchura punctulata	Scaly-breasted munia	I
Estrilda troglodytes	Black-rumped waxbill	I
Estrilda melpoda	Orange-cheeked waxbill	I
Estrilda astrild	Common waxbill	I
Amandava amandava	Red avadavat	I
Prunella collaris	Alpine accentor	
Prunella atrogularis	Black-throated accentor	A
Prunella ocularis	Radde's accentor	A
Prunella modularis	Dunnock	
Prunella montanella	Siberian accentor	A
Petronia petronia	Rock sparrow	
Montifringilla nivalis	White-winged snowfinch	
Carpospiza brachydactyla	Pale rockfinch	A
Passer montanus	Eurasian tree sparrow	
Passer moabiticus	Dead Sea sparrow	A
Passer hispaniolensis	Spanish sparrow	
Passer italiae	Italian sparrow	
Passer domesticus	House sparrow	
Motacilla cinerea	Grey wagtail	
Motacilla flava	Western yellow wagtail	
Motacilla citreola	Citrine wagtail	
Motacilla tschutschensis	Eastern yellow wagtail	A
Motacilla alba	White wagtail	
Anthus godlewskii	Blyth's pipit	A
Anthus campestris	Tawny pipit	
Anthus berthelotii	Berthelot's pipit	E-Madeira and Canary Islands
Anthus similis	Long-billed pipit	A
Anthus richardi	Richard's pipit	A
Anthus gustavi	Pechora pipit	
Anthus trivialis	Tree pipit	
Anthus hodgsoni	Olive-backed pipit	
Anthus cervinus	Red-throated pipit	
Anthus japonicus	Siberian pipit	A
Anthus rubescens	American pipit	A
Anthus pratensis	Meadow pipit	
Anthus petrosus	European rock pipit	E
Anthus spinoletta	Water pipit	
Fringilla montifringilla	Brambling	
Fringilla polatzeki	Gran Canaria blue chaffinch	E-Canary Islands
Fringilla teydea	Tenerife blue chaffinch	E-Canary Islands
Fringilla coelebs	Eurasian chaffinch	
Fringilla moreletti	Azores chaffinch	E-Azores
Fringilla maderensis	Madeira chaffinch	E-Madeira
Fringilla canariensis	Canary Islands chaffinch	E-Canary Islands
Hesperiphona vespertina	Evening grosbeak	A
Coccothraustes coccothraustes	Hawfinch	
Carpodacus erythrinus	Common rosefinch	
Carpodacus rubicilla	Great rosefinch	Caucasus
Carpodacus sibiricus	Long-tailed rosefinch	A
Carpodacus roseus	Pallas's rosefinch	A
Pinicola enucleator	Pine grosbeak	
Pyrrhula murina	Azores bullfinch	E-Azores
Pyrrhula pyrrhula	Eurasian bullfinch	
Rhodopechys sanguineus	Crimson-winged finch	A-Caucasus
Bucanetes mongolicus	Mongolian finch	A
Bucanetes githagineus	Trumpeter finch	
Chloris chloris	European greenfinch	
Linaria flavirostris	Twite	
Linaria cannabina	Common linnet	
Acanthis flammea	Redpoll	
Loxia leucoptera	Two-barred crossbill	
Loxia pytyopsittacus	Parrot crossbill	
Loxia scotica	Scottish crossbill	E
Loxia curvirostra	Red crossbill	
Carduelis citrinella	Citril finch	
Carduelis corsicana	Corsican finch	E
Carduelis carduelis	European goldfinch	
Serinus canaria	Atlantic canary	E-Azores, Madeira and Canary Islands
Serinus serinus	European serin	
Serinus pusillus	Red-fronted serin	A
Spinus spinus	Eurasian siskin	
Plectrophenax nivalis	Snow bunting	
Calcarius lapponicus	Lapland longspur	
Emberiza sahari	House bunting	A
Emberiza pallasi	Pallas's reed bunting	A
Emberiza schoeniclus	Common reed bunting	
Emberiza chrysophrys	Yellow-browed bunting	A
Emberiza rutila	Chestnut bunting	A
Emberiza aureola	Yellow-breasted bunting	
Emberiza pusilla	Little bunting	
Emberiza rustica	Rustic bunting	
Emberiza spodocephala	Black-faced bunting	A
Emberiza melanocephala	Black-headed bunting	
Emberiza bruniceps	Red-headed bunting	
Emberiza calandra	Corn bunting	
Emberiza fucata	Chestnut-eared bunting	A
Emberiza cia	Rock bunting	
Emberiza buchanani	Grey-necked bunting	A
Emberiza cineracea	Cinereous bunting	
Emberiza cirlus	Cirl bunting	
Emberiza hortulana	Ortolan bunting	
Emberiza caesia	Cretzschmar's bunting	
Emberiza leucocephalos	Pine bunting	
Emberiza citrinella	Yellowhammer	
Chondestes grammacus	Lark sparrow	A
Spizelloides arborea	American tree sparrow	A
Passerella iliaca	Fox sparrow	A
Junco hyemalis	Dark-eyed junco	A
Zonotrichia albicollis	White-throated sparrow	A
Zonotrichia leucophrys	White-crowned sparrow	A
Passerculus sandwichensis	Savannah sparrow	A
Melospiza lincolnii	Lincoln's sparrow	A
Melospiza melodia	Song sparrow	A
Pipilo erythrophthalmus	Eastern towhee	A
Xanthocephalus xanthocephalus	Yellow-headed blackbird	A
Dolichonyx oryzivorus	Bobolink	A
Icterus galbula	Baltimore oriole	A
Agelaius phoeniceus	Red-winged blackbird	A
Molothrus ater	Brown-headed cowbird	A
Quiscalus quiscula	Common grackle	A
Seiurus aurocapilla	Ovenbird	A
Parkesia noveboracensis	Northern waterthrush	A
Mniotilta varia	Black-and-white warbler	A
Protonotaria citrea	Prothonotary warbler	A-Azores
Vermivora chrysoptera	Golden-winged warbler	A
Vermivora cyanoptera	Blue-winged warbler	A
Leiothlypis peregrina	Tennessee warbler	A
Oporornis agilis	Connecticut warbler	A-Azores
Geothlypis philadelphia	Mourning warbler	A-Azores
Geothlypis trichas	Common yellowthroat	A
Setophaga ruticilla	American redstart	A
Setophaga citrina	Hooded warbler	A
Setophaga caerulescens	Black-throated blue warbler	A
Setophaga cerulea	Cerulean warbler	A
Setophaga americana	Northern parula	A
Setophaga magnolia	Magnolia warbler	A
Setophaga fusca	Blackburnian warbler	A
Setophaga striata	Blackpoll warbler	A
Setophaga castanea	Bay-breasted warbler	A
Setophaga pensylvanica	Chestnut-sided warbler	A
Setophaga petechia	American yellow warbler	A
Setophaga tigrina	Cape May warbler	A
Setophaga palmarum	Palm warbler	A
Setophaga coronata	Yellow-rumped warbler	A
Setophaga dominica	Yellow-throated warbler	A-Azores
Setophaga discolor	Prairie warbler	A-Azores
Setophaga virens	Black-throated green warbler	A
Cardellina canadensis	Canada warbler	A
Cardellina pusilla	Wilson's warbler	A
Pheucticus ludovicianus	Rose-breasted grosbeak	A
Spiza americana	Dickcissel	A
Passerina cyanea	Indigo bunting	A
Passerina caerulea	Blue grosbeak	A-Azores
Piranga rubra	Summer tanager	A
Piranga olivacea	Scarlet tanager	A
